datasets1/00001.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00561.png: JAGGED_BOUNDARY (area=5236px, blobs=4, roughness=3.802)
datasets1/00563.png: JAGGED_BOUNDARY (area=2179px, blobs=1, roughness=11.174)
datasets1/00564.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00565.png: JAGGED_BOUNDARY (area=9632px, blobs=2, roughness=4.037)
datasets1/00567.png: JAGGED_BOUNDARY (area=3830px, blobs=2, roughness=15.3)
datasets1/00572.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/00573.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/00575.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00579.png: JAGGED_BOUNDARY (area=3415px, blobs=4, roughness=4.036)
datasets1/00580.png: JAGGED_BOUNDARY (area=4084px, blobs=4, roughness=4.293)
datasets1/00582.png: JAGGED_BOUNDARY (area=18912px, blobs=2, roughness=3.766)
datasets1/00584.png: JAGGED_BOUNDARY (area=9510px, blobs=2, roughness=4.395)
datasets1/00585.png: JAGGED_BOUNDARY (area=3050px, blobs=1, roughness=22.802)
datasets1/00586.png: JAGGED_BOUNDARY (area=390px, blobs=1, roughness=4.209)
datasets1/00588.png: JAGGED_BOUNDARY (area=4015px, blobs=4, roughness=4.428)
datasets1/00592.png: JAGGED_BOUNDARY (area=3587px, blobs=1, roughness=11.461)
datasets1/00594.png: JAGGED_BOUNDARY (area=4664px, blobs=3, roughness=4.951)
datasets1/00596.png: JAGGED_BOUNDARY (area=2948px, blobs=1, roughness=12.442)
datasets1/00597.png: JAGGED_BOUNDARY (area=24303px, blobs=1, roughness=4.562)
datasets1/00600.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/00602.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00604.png: JAGGED_BOUNDARY (area=2562px, blobs=2, roughness=7.681)
datasets1/00607.png: JAGGED_BOUNDARY (area=2934px, blobs=1, roughness=12.926)
datasets1/00609.png: JAGGED_BOUNDARY (area=5953px, blobs=2, roughness=8.555)
datasets1/00610.png: JAGGED_BOUNDARY (area=2504px, blobs=1, roughness=11.597)
datasets1/00611.png: JAGGED_BOUNDARY (area=8366px, blobs=3, roughness=3.541)
datasets1/00612.png: JAGGED_BOUNDARY (area=348px, blobs=1, roughness=3.921)
datasets1/00618.png: JAGGED_BOUNDARY (area=1852px, blobs=2, roughness=7.441)
datasets1/00619.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00621.png: JAGGED_BOUNDARY (area=6809px, blobs=4, roughness=3.745)
datasets1/00622.png: JAGGED_BOUNDARY (area=6561px, blobs=2, roughness=7.842)
datasets1/00623.png: JAGGED_BOUNDARY (area=3115px, blobs=1, roughness=20.507)
datasets1/00624.png: JAGGED_BOUNDARY (area=382px, blobs=1, roughness=4.171)
datasets1/00625.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00626.png: JAGGED_BOUNDARY (area=4175px, blobs=2, roughness=11.276)
datasets1/00627.png: JAGGED_BOUNDARY (area=3348px, blobs=1, roughness=12.172)
datasets1/00630.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/00633.png: JAGGED_BOUNDARY (area=427px, blobs=1, roughness=4.172)
datasets1/00634.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00637.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00639.png: JAGGED_BOUNDARY (area=3475px, blobs=2, roughness=17.329)
datasets1/00640.png: JAGGED_BOUNDARY (area=3488px, blobs=1, roughness=11.037)
datasets1/00641.png: JAGGED_BOUNDARY (area=2462px, blobs=2, roughness=8.038)
datasets1/00643.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00644.png: JAGGED_BOUNDARY (area=633px, blobs=1, roughness=8.316)
datasets1/00645.png: JAGGED_BOUNDARY (area=3724px, blobs=2, roughness=6.337)
datasets1/00646.png: JAGGED_BOUNDARY (area=19920px, blobs=1, roughness=3.572)
datasets1/00647.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00648.png: JAGGED_BOUNDARY (area=3467px, blobs=1, roughness=14.795)
datasets1/00649.png: JAGGED_BOUNDARY (area=4493px, blobs=4, roughness=3.959)
datasets1/00650.png: JAGGED_BOUNDARY (area=3981px, blobs=4, roughness=4.31)
datasets1/00652.png: JAGGED_BOUNDARY (area=880px, blobs=2, roughness=10.603)
datasets1/00653.png: JAGGED_BOUNDARY (area=3657px, blobs=1, roughness=13.076)
datasets1/00654.png: JAGGED_BOUNDARY (area=19686px, blobs=1, roughness=3.553)
datasets1/00656.png: JAGGED_BOUNDARY (area=5342px, blobs=4, roughness=3.755)
datasets1/00658.png: JAGGED_BOUNDARY (area=1002px, blobs=2, roughness=7.223)
datasets1/00659.png: JAGGED_BOUNDARY (area=3484px, blobs=1, roughness=20.085)
datasets1/00662.png: JAGGED_BOUNDARY (area=5078px, blobs=4, roughness=3.636)
datasets1/00663.png: JAGGED_BOUNDARY (area=2228px, blobs=2, roughness=7.095)
datasets1/00664.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00666.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00668.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00669.png: JAGGED_BOUNDARY (area=8097px, blobs=5, roughness=3.694)
datasets1/00671.png: JAGGED_BOUNDARY (area=3192px, blobs=3, roughness=3.716)
datasets1/00672.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/00676.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/00677.png: JAGGED_BOUNDARY (area=3443px, blobs=1, roughness=25.685)
datasets1/00678.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00679.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00688.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00692.png: JAGGED_BOUNDARY (area=6277px, blobs=4, roughness=3.641)
datasets1/00693.png: JAGGED_BOUNDARY (area=3739px, blobs=2, roughness=15.243)
datasets1/00694.png: JAGGED_BOUNDARY (area=3607px, blobs=4, roughness=3.95)
datasets1/00695.png: JAGGED_BOUNDARY (area=3029px, blobs=1, roughness=22.337)
datasets1/00697.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00698.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00700.png: JAGGED_BOUNDARY (area=21963px, blobs=1, roughness=3.607)
datasets1/00701.png: JAGGED_BOUNDARY (area=1125px, blobs=3, roughness=6.709)
datasets1/00702.png: JAGGED_BOUNDARY (area=3375px, blobs=2, roughness=16.968)
datasets1/00704.png: JAGGED_BOUNDARY (area=11564px, blobs=5, roughness=4.199)
datasets1/00707.png: JAGGED_BOUNDARY (area=3770px, blobs=1, roughness=15.618)
datasets1/00708.png: JAGGED_BOUNDARY (area=3408px, blobs=4, roughness=4.17)
datasets1/00709.png: JAGGED_BOUNDARY (area=21784px, blobs=1, roughness=4.656)
datasets1/00712.png: JAGGED_BOUNDARY (area=3070px, blobs=3, roughness=3.623)
datasets1/00714.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00715.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00717.png: JAGGED_BOUNDARY (area=702px, blobs=1, roughness=9.874)
datasets1/00720.png: JAGGED_BOUNDARY (area=1310px, blobs=2, roughness=4.56)
datasets1/00723.png: JAGGED_BOUNDARY (area=319px, blobs=1, roughness=4.102)
datasets1/00724.png: JAGGED_BOUNDARY (area=5557px, blobs=2, roughness=9.267)
datasets1/00726.png: JAGGED_BOUNDARY (area=3678px, blobs=1, roughness=16.917)
datasets1/00728.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/00729.png: JAGGED_BOUNDARY (area=675px, blobs=1, roughness=8.196)
datasets1/00731.png: JAGGED_BOUNDARY (area=19303px, blobs=1, roughness=6.447)
datasets1/00732.png: JAGGED_BOUNDARY (area=3618px, blobs=1, roughness=22.612)
datasets1/00733.png: JAGGED_BOUNDARY (area=24538px, blobs=1, roughness=4.163)
datasets1/00734.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00735.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00736.png: JAGGED_BOUNDARY (area=6276px, blobs=2, roughness=8.156)
datasets1/00738.png: JAGGED_BOUNDARY (area=2402px, blobs=1, roughness=11.202)
datasets1/00739.png: JAGGED_BOUNDARY (area=6286px, blobs=2, roughness=8.163)
datasets1/00740.png: JAGGED_BOUNDARY (area=220px, blobs=1, roughness=4.01)
datasets1/00742.png: JAGGED_BOUNDARY (area=4204px, blobs=3, roughness=5.155)
datasets1/00743.png: JAGGED_BOUNDARY (area=8737px, blobs=2, roughness=4.564)
datasets1/00744.png: JAGGED_BOUNDARY (area=12330px, blobs=5, roughness=4.044)
datasets1/00747.png: JAGGED_BOUNDARY (area=3684px, blobs=3, roughness=3.652)
datasets1/00748.png: JAGGED_BOUNDARY (area=10114px, blobs=2, roughness=4.039)
datasets1/00749.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.049)
datasets1/00751.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00752.png: JAGGED_BOUNDARY (area=2277px, blobs=2, roughness=7.864)
datasets1/00753.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00755.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/00756.png: JAGGED_BOUNDARY (area=4041px, blobs=4, roughness=4.234)
datasets1/00758.png: JAGGED_BOUNDARY (area=3106px, blobs=1, roughness=21.007)
datasets1/00762.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00763.png: JAGGED_BOUNDARY (area=2914px, blobs=1, roughness=21.099)
datasets1/00764.png: JAGGED_BOUNDARY (area=4202px, blobs=1, roughness=20.567)
datasets1/00766.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00768.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00769.png: JAGGED_BOUNDARY (area=3658px, blobs=2, roughness=7.024)
datasets1/00770.png: JAGGED_BOUNDARY (area=588px, blobs=1, roughness=9.582)
datasets1/00771.png: JAGGED_BOUNDARY (area=2060px, blobs=2, roughness=6.873)
datasets1/00772.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/00773.png: JAGGED_BOUNDARY (area=1625px, blobs=3, roughness=6.867)
datasets1/00774.png: JAGGED_BOUNDARY (area=414px, blobs=1, roughness=4.08)
datasets1/00780.png: JAGGED_BOUNDARY (area=6450px, blobs=4, roughness=3.687)
datasets1/00782.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00784.png: JAGGED_BOUNDARY (area=16470px, blobs=1, roughness=3.514)
datasets1/00786.png: JAGGED_BOUNDARY (area=2008px, blobs=2, roughness=6.641)
datasets1/00787.png: JAGGED_BOUNDARY (area=3046px, blobs=3, roughness=3.732)
datasets1/00788.png: JAGGED_BOUNDARY (area=2146px, blobs=2, roughness=6.896)
datasets1/00789.png: JAGGED_BOUNDARY (area=3680px, blobs=2, roughness=15.487)
datasets1/00790.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00796.png: JAGGED_BOUNDARY (area=2339px, blobs=2, roughness=7.399)
datasets1/00797.png: JAGGED_BOUNDARY (area=2676px, blobs=2, roughness=6.924)
datasets1/00798.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00800.png: JAGGED_BOUNDARY (area=6756px, blobs=4, roughness=3.643)
datasets1/00803.png: JAGGED_BOUNDARY (area=6567px, blobs=4, roughness=3.633)
datasets1/00804.png: JAGGED_BOUNDARY (area=2627px, blobs=2, roughness=6.489)
datasets1/00806.png: JAGGED_BOUNDARY (area=293px, blobs=1, roughness=4.361)
datasets1/00807.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00809.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00810.png: JAGGED_BOUNDARY (area=7293px, blobs=4, roughness=3.757)
datasets1/00811.png: JAGGED_BOUNDARY (area=694px, blobs=1, roughness=8.371)
datasets1/00813.png: JAGGED_BOUNDARY (area=997px, blobs=2, roughness=5.099)
datasets1/00817.png: JAGGED_BOUNDARY (area=2290px, blobs=2, roughness=6.329)
datasets1/00818.png: JAGGED_BOUNDARY (area=2916px, blobs=1, roughness=24.969)
datasets1/00820.png: JAGGED_BOUNDARY (area=1310px, blobs=3, roughness=3.65)
datasets1/00821.png: JAGGED_BOUNDARY (area=24715px, blobs=1, roughness=4.128)
datasets1/00822.png: JAGGED_BOUNDARY (area=3402px, blobs=2, roughness=16.958)
datasets1/00823.png: JAGGED_BOUNDARY (area=4041px, blobs=1, roughness=12.878)
datasets1/00827.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00828.png: JAGGED_BOUNDARY (area=20313px, blobs=2, roughness=3.672)
datasets1/00831.png: JAGGED_BOUNDARY (area=714px, blobs=1, roughness=8.532)
datasets1/00832.png: JAGGED_BOUNDARY (area=3328px, blobs=1, roughness=20.508)
datasets1/00835.png: JAGGED_BOUNDARY (area=2778px, blobs=1, roughness=11.865)
datasets1/00836.png: JAGGED_BOUNDARY (area=21428px, blobs=1, roughness=5.583)
datasets1/00838.png: JAGGED_BOUNDARY (area=764px, blobs=1, roughness=8.863)
datasets1/00839.png: JAGGED_BOUNDARY (area=11942px, blobs=5, roughness=4.486)
datasets1/00840.png: JAGGED_BOUNDARY (area=4267px, blobs=3, roughness=3.742)
datasets1/00841.png: JAGGED_BOUNDARY (area=5635px, blobs=2, roughness=9.001)
datasets1/00846.png: JAGGED_BOUNDARY (area=4211px, blobs=4, roughness=4.234)
datasets1/00847.png: JAGGED_BOUNDARY (area=2644px, blobs=2, roughness=6.842)
datasets1/00848.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00849.png: JAGGED_BOUNDARY (area=24782px, blobs=1, roughness=4.512)
datasets1/00850.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00851.png: JAGGED_BOUNDARY (area=12904px, blobs=5, roughness=4.423)
datasets1/00852.png: JAGGED_BOUNDARY (area=3554px, blobs=1, roughness=15.099)
datasets1/00854.png: JAGGED_BOUNDARY (area=5863px, blobs=2, roughness=8.707)
datasets1/00857.png: JAGGED_BOUNDARY (area=2975px, blobs=1, roughness=21.003)
datasets1/00858.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00859.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00861.png: JAGGED_BOUNDARY (area=2517px, blobs=1, roughness=11.729)
datasets1/00862.png: JAGGED_BOUNDARY (area=20570px, blobs=1, roughness=5.872)
datasets1/00863.png: JAGGED_BOUNDARY (area=1044px, blobs=2, roughness=8.235)
datasets1/00865.png: JAGGED_BOUNDARY (area=3171px, blobs=1, roughness=24.375)
datasets1/00868.png: JAGGED_BOUNDARY (area=2942px, blobs=1, roughness=11.052)
datasets1/00871.png: JAGGED_BOUNDARY (area=3700px, blobs=3, roughness=3.657)
datasets1/00872.png: JAGGED_BOUNDARY (area=2888px, blobs=1, roughness=9.267)
datasets1/00873.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00874.png: JAGGED_BOUNDARY (area=3633px, blobs=4, roughness=3.774)
datasets1/00875.png: JAGGED_BOUNDARY (area=694px, blobs=1, roughness=8.371)
datasets1/00876.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00877.png: JAGGED_BOUNDARY (area=627px, blobs=1, roughness=8.413)
datasets1/00880.png: JAGGED_BOUNDARY (area=3050px, blobs=1, roughness=11.225)
datasets1/00881.png: JAGGED_BOUNDARY (area=386px, blobs=1, roughness=4.207)
datasets1/00882.png: JAGGED_BOUNDARY (area=19550px, blobs=2, roughness=3.607)
datasets1/00883.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/00886.png: JAGGED_BOUNDARY (area=941px, blobs=2, roughness=7.665)
datasets1/00887.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00888.png: JAGGED_BOUNDARY (area=2208px, blobs=2, roughness=8.414)
datasets1/00890.png: JAGGED_BOUNDARY (area=1847px, blobs=2, roughness=7.445)
datasets1/00891.png: JAGGED_BOUNDARY (area=3383px, blobs=3, roughness=3.642)
datasets1/00892.png: JAGGED_BOUNDARY (area=2150px, blobs=2, roughness=6.917)
datasets1/00893.png: JAGGED_BOUNDARY (area=700px, blobs=1, roughness=8.434)
datasets1/00894.png: JAGGED_BOUNDARY (area=5651px, blobs=4, roughness=3.639)
datasets1/00899.png: JAGGED_BOUNDARY (area=19964px, blobs=2, roughness=3.516)
datasets1/00900.png: JAGGED_BOUNDARY (area=2228px, blobs=2, roughness=7.19)
datasets1/00901.png: JAGGED_BOUNDARY (area=2910px, blobs=1, roughness=9.738)
datasets1/00902.png: JAGGED_BOUNDARY (area=296px, blobs=1, roughness=4.37)
datasets1/00903.png: JAGGED_BOUNDARY (area=3817px, blobs=3, roughness=3.667)
datasets1/00904.png: JAGGED_BOUNDARY (area=9231px, blobs=2, roughness=4.283)
datasets1/00905.png: JAGGED_BOUNDARY (area=3152px, blobs=1, roughness=9.777)
datasets1/00906.png: JAGGED_BOUNDARY (area=6514px, blobs=1, roughness=15.058)
datasets1/00907.png: JAGGED_BOUNDARY (area=12454px, blobs=5, roughness=4.288)
datasets1/00908.png: JAGGED_BOUNDARY (area=21367px, blobs=1, roughness=5.6)
datasets1/00909.png: JAGGED_BOUNDARY (area=3827px, blobs=1, roughness=13.011)
datasets1/00910.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00911.png: JAGGED_BOUNDARY (area=8822px, blobs=2, roughness=4.566)
datasets1/00913.png: JAGGED_BOUNDARY (area=1107px, blobs=2, roughness=7.362)
datasets1/00914.png: JAGGED_BOUNDARY (area=5477px, blobs=4, roughness=3.658)
datasets1/00917.png: JAGGED_BOUNDARY (area=6229px, blobs=4, roughness=3.66)
datasets1/00921.png: JAGGED_BOUNDARY (area=6048px, blobs=4, roughness=3.593)
datasets1/00922.png: JAGGED_BOUNDARY (area=6935px, blobs=1, roughness=14.29)
datasets1/00926.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/00927.png: JAGGED_BOUNDARY (area=1864px, blobs=2, roughness=8.365)
datasets1/00930.png: JAGGED_BOUNDARY (area=25189px, blobs=1, roughness=4.484)
datasets1/00931.png: JAGGED_BOUNDARY (area=23278px, blobs=1, roughness=4.704)
datasets1/00933.png: JAGGED_BOUNDARY (area=18171px, blobs=2, roughness=4.089)
datasets1/00934.png: JAGGED_BOUNDARY (area=2925px, blobs=1, roughness=13.312)
datasets1/00935.png: JAGGED_BOUNDARY (area=3933px, blobs=1, roughness=20.087)
datasets1/00936.png: JAGGED_BOUNDARY (area=883px, blobs=2, roughness=5.256)
datasets1/00938.png: JAGGED_BOUNDARY (area=3218px, blobs=2, roughness=6.473)
datasets1/00939.png: JAGGED_BOUNDARY (area=666px, blobs=1, roughness=8.072)
datasets1/00949.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/00950.png: JAGGED_BOUNDARY (area=17432px, blobs=1, roughness=3.596)
datasets1/00951.png: JAGGED_BOUNDARY (area=21801px, blobs=1, roughness=3.56)
datasets1/00952.png: SUSPICIOUSLY_TINY (area=43px, blobs=1, roughness=1.861)
datasets1/00954.png: JAGGED_BOUNDARY (area=6191px, blobs=4, roughness=3.649)
datasets1/00955.png: JAGGED_BOUNDARY (area=1024px, blobs=2, roughness=5.133)
datasets1/00958.png: JAGGED_BOUNDARY (area=2074px, blobs=2, roughness=6.835)
datasets1/00959.png: JAGGED_BOUNDARY (area=2674px, blobs=1, roughness=10.194)
datasets1/00960.png: JAGGED_BOUNDARY (area=3552px, blobs=4, roughness=4.816)
datasets1/00961.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00962.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00964.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00965.png: JAGGED_BOUNDARY (area=1182px, blobs=3, roughness=3.881)
datasets1/00967.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/00970.png: JAGGED_BOUNDARY (area=4177px, blobs=2, roughness=13.542)
datasets1/00971.png: JAGGED_BOUNDARY (area=4384px, blobs=1, roughness=20.72)
datasets1/00973.png: JAGGED_BOUNDARY (area=4085px, blobs=1, roughness=28.502)
datasets1/00974.png: JAGGED_BOUNDARY (area=3746px, blobs=2, roughness=15.557)
datasets1/00975.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/00976.png: JAGGED_BOUNDARY (area=3572px, blobs=2, roughness=7.002)
datasets1/00978.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/00979.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00980.png: JAGGED_BOUNDARY (area=3983px, blobs=2, roughness=6.231)
datasets1/00981.png: JAGGED_BOUNDARY (area=3045px, blobs=1, roughness=10.179)
datasets1/00983.png: JAGGED_BOUNDARY (area=11273px, blobs=5, roughness=4.412)
datasets1/00984.png: JAGGED_BOUNDARY (area=21141px, blobs=1, roughness=3.613)
datasets1/00986.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00991.png: JAGGED_BOUNDARY (area=4351px, blobs=1, roughness=22.533)
datasets1/00992.png: JAGGED_BOUNDARY (area=3472px, blobs=1, roughness=15.188)
datasets1/00993.png: JAGGED_BOUNDARY (area=1028px, blobs=4, roughness=3.917)
datasets1/00994.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/00996.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00997.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00999.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/01002.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/01003.png: JAGGED_BOUNDARY (area=10393px, blobs=2, roughness=4.093)
datasets1/01004.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/01005.png: JAGGED_BOUNDARY (area=965px, blobs=3, roughness=4.142)
datasets1/01006.png: JAGGED_BOUNDARY (area=4283px, blobs=1, roughness=21.011)
datasets1/01007.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/01008.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/01009.png: JAGGED_BOUNDARY (area=3758px, blobs=2, roughness=15.321)
datasets1/01011.png: JAGGED_BOUNDARY (area=3613px, blobs=1, roughness=17.705)
datasets1/01013.png: JAGGED_BOUNDARY (area=3716px, blobs=1, roughness=20.51)
datasets1/01014.png: JAGGED_BOUNDARY (area=3500px, blobs=1, roughness=13.076)
datasets1/01015.png: JAGGED_BOUNDARY (area=735px, blobs=1, roughness=8.68)
datasets1/01016.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/01020.png: JAGGED_BOUNDARY (area=1821px, blobs=2, roughness=8.48)
datasets1/01022.png: JAGGED_BOUNDARY (area=3771px, blobs=1, roughness=19.44)
datasets1/01023.png: JAGGED_BOUNDARY (area=3488px, blobs=1, roughness=11.037)
datasets1/01024.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/01025.png: JAGGED_BOUNDARY (area=2804px, blobs=1, roughness=23.267)
datasets1/01026.png: JAGGED_BOUNDARY (area=3417px, blobs=3, roughness=3.581)
datasets1/01028.png: JAGGED_BOUNDARY (area=9630px, blobs=2, roughness=4.107)
datasets1/01029.png: JAGGED_BOUNDARY (area=4245px, blobs=3, roughness=4.797)
datasets1/01032.png: JAGGED_BOUNDARY (area=3168px, blobs=1, roughness=20.644)
datasets1/01034.png: JAGGED_BOUNDARY (area=2637px, blobs=2, roughness=6.846)
datasets1/01037.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/01039.png: JAGGED_BOUNDARY (area=3498px, blobs=3, roughness=3.587)
datasets1/01040.png: JAGGED_BOUNDARY (area=735px, blobs=1, roughness=8.829)
datasets1/01041.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01043.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/01044.png: JAGGED_BOUNDARY (area=1358px, blobs=2, roughness=4.646)
datasets1/01045.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01047.png: JAGGED_BOUNDARY (area=12165px, blobs=4, roughness=4.971)
datasets1/01048.png: JAGGED_BOUNDARY (area=456px, blobs=1, roughness=4.01)
datasets1/01049.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/01054.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01059.png: JAGGED_BOUNDARY (area=1282px, blobs=3, roughness=3.898)
datasets1/01060.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01062.png: JAGGED_BOUNDARY (area=18458px, blobs=2, roughness=3.525)
datasets1/01063.png: JAGGED_BOUNDARY (area=414px, blobs=1, roughness=4.08)
datasets1/01065.png: JAGGED_BOUNDARY (area=17875px, blobs=1, roughness=3.518)
datasets1/01067.png: JAGGED_BOUNDARY (area=12503px, blobs=5, roughness=4.314)
datasets1/01069.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/01070.png: JAGGED_BOUNDARY (area=2827px, blobs=1, roughness=10.607)
datasets1/01071.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/01075.png: JAGGED_BOUNDARY (area=1608px, blobs=3, roughness=6.692)
datasets1/01076.png: JAGGED_BOUNDARY (area=3510px, blobs=1, roughness=21.744)
datasets1/01078.png: JAGGED_BOUNDARY (area=22166px, blobs=1, roughness=4.917)
datasets1/01079.png: JAGGED_BOUNDARY (area=10804px, blobs=5, roughness=4.449)
datasets1/01080.png: JAGGED_BOUNDARY (area=18644px, blobs=1, roughness=3.53)
datasets1/01082.png: JAGGED_BOUNDARY (area=19388px, blobs=1, roughness=6.269)
datasets1/01086.png: JAGGED_BOUNDARY (area=1243px, blobs=3, roughness=4.111)
datasets1/01087.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01089.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
